,year,State,Median income,Smoke everyday,Smoke some days,Former smoker,Never smoked
88,1996,Ohio,55458.0,25.7,2.7,21.4,50.2
89,1996,Oklahoma,44661.0,21.5,2.5,18.4,57.5
90,1996,Oregon,57772.0,19.1,4.3,27.7,48.9
91,1996,Pennsylvania,56807.0,20.3,4.2,23.2,52.3
92,1996,Puerto Rico,,9.4,5.1,16.0,69.5
93,1996,Rhode Island,60204.0,17.8,4.7,27.1,50.4
94,1996,South Carolina,56426.0,21.4,3.0,20.2,55.3
95,1996,South Dakota,48061.0,17.9,2.8,25.2,54.1
96,1996,Tennessee,50119.0,25.0,2.9,19.9,52.2
97,1996,Texas,53833.0,17.0,5.9,21.2,55.9
98,1996,United States,57772.0,19.5,4.0,23.8,52.3
99,1996,Utah,60289.0,13.3,2.6,16.4,67.7
100,1996,Vermont,52671.0,18.9,5.2,29.2,46.7
101,1996,Virginia,63826.0,19.6,5.2,22.9,52.3
102,1996,Washington,59700.0,19.1,4.4,26.8,49.7
103,1996,West Virginia,41096.0,23.9,2.8,22.9,50.5
104,1996,Wisconsin,65112.0,19.7,5.2,25.9,49.2
105,1996,Wyoming,50384.0,20.1,4.5,25.1,50.3
106,1997,Alabama,50889.0,20.8,3.9,22.0,53.3
107,1997,Alaska,76469.0,22.3,4.2,24.7,48.8
108,1997,All States and DC,,19.1,4.3,24.3,51.9
109,1997,Arizona,52165.0,18.4,2.7,13.6,65.3
110,1997,Arkansas,41684.0,24.8,3.7,20.2,51.4
111,1997,California,63245.0,12.6,5.9,26.9,54.6
112,1997,Colorado,68884.0,17.0,5.5,25.5,51.9
113,1997,Connecticut,70082.0,17.2,4.4,29.1,49.3
114,1997,Delaware,68565.0,22.3,4.3,26.5,46.9
115,1997,District of Columbia,50763.0,11.8,7.0,15.8,65.4
116,1997,Florida,51711.0,19.8,3.8,26.4,50.0
117,1997,Georgia,58416.0,17.6,4.8,15.3,62.3
118,1997,Hawaii,65221.0,14.3,4.4,26.4,54.9
119,1997,Idaho,53223.0,15.6,4.3,24.3,55.8
120,1997,Illinois,65777.0,17.8,5.4,25.8,51.0
121,1997,Indiana,61962.0,21.7,4.7,23.5,50.2
122,1997,Iowa,53827.0,18.7,4.4,24.0,52.9
123,1997,Kansas,58110.0,18.3,4.3,19.4,58.0
124,1997,Kentucky,53300.0,27.6,3.1,23.5,45.8
125,1997,Louisiana,52994.0,19.2,5.3,21.9,53.6
126,1997,Maine,52216.0,19.8,2.9,31.0,46.3
127,1997,Maryland,74384.0,17.6,2.9,22.8,56.8
128,1997,Massachusetts,66956.0,16.4,4.1,29.7,49.8
129,1997,Michigan,61728.0,21.2,4.8,25.0,48.9
130,1997,Minnesota,67818.0,16.7,5.2,22.4,55.7
131,1997,Mississippi,45408.0,19.0,4.1,21.3,55.6
132,1997,Missouri,58240.0,24.6,4.0,21.6,49.7
133,1997,Montana,46544.0,18.0,2.5,26.6,52.9
134,1997,Nebraska,55275.0,18.5,3.6,22.7,55.2
135,1997,Nevada,61907.0,23.4,4.6,25.4,46.6
136,1997,New Hampshire,65323.0,20.0,4.7,31.3,44.0
137,1997,New Jersey,76513.0,16.6,4.7,26.2,52.4
138,1997,New Mexico,47936.0,15.5,6.5,25.3,52.6
139,1997,New York,57037.0,19.1,4.0,23.7,53.2
